"","date","open","high","low","close","volume","adjusted"
"2616",2008-05-28,26.772858,26.85,26.245714,26.715714,185994900,18.085377
"2617",2008-05-29,26.68,26.885714,26.5,26.67,161796600,18.054432
"2618",2008-05-30,26.778572,27.077143,26.768572,26.964285,152546100,18.253643
"2619",2008-06-02,26.942858,27.092857,26.361429,26.585714,169960000,17.99737
"2620",2008-06-03,26.694286,26.885714,26.048571,26.481428,187630100,17.926775
"2621",2008-06-04,26.288572,26.727142,26.175714,26.455715,181745900,17.909369
"2622",2008-06-05,26.620001,27.120001,26.528572,27.061428,188861400,18.319414
"2623",2008-06-06,26.857143,27.135714,26.507143,26.52,241605700,17.95289
"2624",2008-06-09,26.398571,26.42,25.107143,25.944286,472098200,17.563156
"2625",2008-06-10,25.787144,26.682858,25.574286,26.52,285235300,17.95289
"2626",2008-06-11,26.334286,26.571428,25.655714,25.83,240387700,17.485785
"2627",2008-06-12,25.927143,26.085714,24.457144,24.751429,327083400,16.75564
"2628",2008-06-13,24.52,24.879999,23.615715,24.624287,336489300,16.669573
"2629",2008-06-16,24.471428,25.414286,24.152857,25.262857,262932600,17.101854
"2630",2008-06-17,25.442858,25.998571,25.344286,25.918571,224914200,17.545744
"2631",2008-06-18,25.874287,26.028572,25.335714,25.535715,202867000,17.286564
"2632",2008-06-19,25.507143,26.048571,25.257143,25.842857,197987300,17.494486
"2633",2008-06-20,25.621429,25.857143,25,25.038572,222091800,16.950026
"2634",2008-06-23,24.962856,25.125713,24.508572,24.737143,161445200,16.745968
"2635",2008-06-24,24.624287,25.111429,24.518572,24.75,155486800,16.754675
"2636",2008-06-25,24.944286,25.547142,24.84,25.341429,161112700,17.155045
"2637",2008-06-26,24.867144,24.977142,24.001429,24.037144,217402500,16.272102
"2638",2008-06-27,23.787144,24.367144,23.450001,24.298571,260562400,16.44908
"2639",2008-06-30,24.312857,24.571428,23.802856,23.92,171049200,16.192804
"2640",2008-07-01,23.461428,24.959999,23.428572,24.954287,277820200,16.892967
"2641",2008-07-02,25.028572,25.35,24.025715,24.025715,209379800,16.264364
"2642",2008-07-03,24.227142,24.595715,23.678572,24.302856,130840500,16.451981
"2643",2008-07-07,24.737143,25.304285,24.557142,25.022858,205097900,16.939386
"2644",2008-07-08,25.057142,25.671429,24.677143,25.65,222087600,17.363935
"2645",2008-07-09,25.742857,25.844286,24.877142,24.892857,223944000,16.851381
"2646",2008-07-10,24.988571,25.334286,24.481428,25.232857,210172200,17.081551
"2647",2008-07-11,25.067142,25.301428,24.428572,24.654285,232502900,16.689882
"2648",2008-07-14,25.605715,25.614286,24.725714,24.84,221513600,16.815599
"2649",2008-07-15,24.639999,24.82,23.77,24.234285,260010800,16.40556
"2650",2008-07-16,24.314285,24.704287,24.085714,24.687143,186947600,16.71212
"2651",2008-07-17,24.871429,24.997143,24.484285,24.544285,189381500,16.615416
"2652",2008-07-18,24.074286,24.235714,23.571428,23.592857,217103600,15.971338
"2653",2008-07-21,23.842857,23.928572,23.017143,23.755714,340117400,16.081585
"2654",2008-07-22,21.285715,23.251429,20.932858,23.145714,469898100,15.668645
"2655",2008-07-23,23.57,24.052856,23.08,23.751429,265442100,16.078684
"2656",2008-07-24,23.474285,23.608572,22.635714,22.718571,209904800,15.379485
"2657",2008-07-25,22.914286,23.285715,22.664286,23.16,158409300,15.678316
"2658",2008-07-28,23.191429,23.209999,22.002857,22.057142,195178200,14.931728
"2659",2008-07-29,22.201429,22.778572,21.950001,22.440001,171017700,15.190902
"2660",2008-07-30,22.540001,22.927143,22.297142,22.84,181295800,15.461691
"2661",2008-07-31,22.505714,23.171429,22.425714,22.707144,159374600,15.371753
"2662",2008-08-01,22.842857,22.855715,22.25,22.379999,136159800,15.150289
"2663",2008-08-04,22.371429,22.557142,21.844286,21.889999,148131900,14.818578
"2664",2008-08-05,22.202858,22.971428,22.117144,22.948572,172092900,15.535184
"2665",2008-08-06,22.852858,23.914286,22.571428,23.455715,197852200,15.878503
"2666",2008-08-07,23.244286,23.735714,23.071428,23.367144,168093100,15.81854
"2667",2008-08-08,23.408571,24.235714,23.392857,24.221428,178499300,16.396854
"2668",2008-08-11,24.295713,25.214285,24.238571,24.794285,222826100,16.784653
"2669",2008-08-12,24.788572,25.612858,24.787144,25.247143,209069700,17.091219
"2670",2008-08-13,25.425714,25.714285,25.128571,25.614286,210586600,17.33976
"2671",2008-08-14,25.475714,25.778572,25.405714,25.617144,177825200,17.341692
"2672",2008-08-15,25.577143,25.678572,25.007143,25.105715,177062900,16.99548
"2673",2008-08-18,25.081429,25.401428,24.831429,25.055714,138003600,16.961626
"2674",2008-08-19,24.934286,25.295713,24.544285,24.790001,154051100,16.781754
"2675",2008-08-20,24.967142,25.277143,24.801428,25.120001,126737800,17.005154
"2676",2008-08-21,24.924286,25.064285,24.555714,24.898571,134936200,16.855249
"2677",2008-08-22,25.117144,25.357143,25.081429,25.255714,109902800,17.097019
"2678",2008-08-25,25.164286,25.175714,24.522858,24.65,121106300,16.686977
"2679",2008-08-26,24.68,24.982857,24.658571,24.805714,111387500,16.792389
"2680",2008-08-27,24.758572,25.108572,24.598572,24.952858,119445200,16.891994
"2681",2008-08-28,25.040001,25.178572,24.678572,24.82,107846200,16.802061
"2682",2008-08-29,24.70857,24.785715,24.148571,24.218571,149822400,16.394917
"2683",2008-09-02,24.628571,24.785715,23.571428,23.741428,195190800,16.071917
"2684",2008-09-03,23.834286,24.097143,23.428572,23.851429,183708700,16.146381
